word,vector
a,0.1608242,0.2858393,-0.14954397,0.3416108,0.25183606,0.28230014,0.36643338,-0.16462833,0.09210758,-0.2141874,0.27394053,-0.3195666,0.23483972,0.18492597,-0.2464199,-0.3360468,0.043524534,0.28853962,0.03416713,-0.2826011
about,-0.26967606,0.29605645,0.30318773,0.092688926,0.23277897,0.055070728,-0.23222043,0.26474983,0.08430071,-0.29546323,-0.2501788,-0.22035754,0.21676806,-0.14395675,0.33085525,0.036105365,-0.089454494,0.3071917,-0.17852111,-0.33810896
above,-0.30646527,0.21121565,0.21132122,-0.05912831,0.1645594,-0.123736285,-0.14884396,0.24628979,-0.08647615,-0.33673263,-0.29519477,-0.26723102,0.26349583,-0.24203816,0.3232336,-0.07677895,-0.16597888,0.28597802,-0.19201417,-0.3035615
across,-0.2934648,0.44225743,0.16846304,0.007922583,0.04746164,0.030744627,-0.23119944,0.4001453,-0.3261895,-0.43633658,-0.1657471,0.026632719,0.3899165,0.03878486,0.3960291,-0.023215946,-0.0428577,0.4159095,0.12842016,-0.32061118
adequate,0.34777096,-0.24819946,-0.29373103,-0.2195809,0.21248342,-0.2251555,0.14937745,-0.21833792,-0.011407668,0.019636659,0.20175612,-0.11720071,-0.006350657,0.27235928,-0.24620615,-0.18204848,-0.33113825,0.32442963,0.2624656,-0.2414044
advance,-0.27222708,0.30430856,0.15782686,-0.27581066,0.280245,0.22826336,-0.17772013,-0.19714572,0.38262987,-0.15888467,-0.25488734,0.12223907,-0.245904,-0.3826851,-0.06551633,-0.20044248,0.24684657,0.3249755,0.18522902,-0.036298286
after,-0.31040624,0.30597585,0.1280401,-0.17670803,0.19130987,0.14410542,-0.21177806,0.21216168,-0.10937299,-0.32950464,-0.2416887,-0.260007,0.19949496,-0.21144333,0.2974954,0.24869192,-0.17919159,0.3003149,-0.2258615,-0.3259279
against,-0.26280773,0.25606197,0.1021046,-0.21692647,0.22331755,0.093865566,-0.14772873,0.15185648,-0.28811437,-0.27988985,-0.18467078,-0.28165203,0.26747182,-0.2733982,0.3388777,-0.13809173,-0.27616337,0.29175732,-0.08309956,-0.26293045
along,-0.3457685,0.31951278,-0.09769989,-0.21755436,0.18107161,0.23864487,-0.021846376,0.16765465,-0.2891313,-0.36113352,-0.091360584,-0.2104155,0.31407452,-0.16352578,0.24398695,0.07212432,-0.22215965,0.22018543,-0.124115564,-0.38068935
among,-0.29070893,0.21788248,-0.016080469,-0.26955655,0.25127906,0.20417082,-0.08698966,-0.054226097,-0.25454038,-0.27642262,-0.06359588,-0.3391463,0.1785129,-0.3453879,0.3083011,0.13754176,-0.26973644,0.27214855,-0.21436965,-0.25016922
